";m2wlist","### Week of %A, %B %d, %Y


#### %A, %B %d, %Y
- %|
#### %@+1D%A, %B %d, %Y
- 

#### %@+1D%A, %B %d, %Y
- 

#### %@+1D%A, %B%d, %Y
- 

#### %@+1D%A, %B %d, %Y
- ","M2W Task List"
";meeting","%Y-%m-%d_M2W-CTL_Daily_Meeting ","Daily Meeting Notes"
";noho","North Hollywood","North Hollywood"
";recent","it appears in the ""Recent Activity"" section a.k.a ""what we call Popular Articles.""","Recent Activity"
";semail","Hi %filltext:name=Customer:width=20:default=Customer Name%,<br />&nbsp;<br />Thank you for contacting CenturyLink Support. %fillarea:name=Ticket Details:width=30:height=5:default=Details%Please don't hesitate to reach back out to let us know so that we can further assist you.<br />&nbsp;<br />CenturyLink Email Customer Support<br /><a href=""https://centurylinkwebmail.s.center/hc/en-us"">CenturyLink Email Help Center</a>","Support Template email"
";sform","Hi %filltext:name=Name:width=20:default=Customer Name%,


Thank you for contacting CenturyLink Support. I need a bit more information:
","Support Form"
";task","The week of %snippet:$dd%

%snippet:;strtme%","Task List"
";wcreds","<b>URL: </b><br /><b>Username:</b> <br /><b>Password:</b> ","Creds Form"
";whcurl","https://webmail.s.center/hc/en-us","Mobile Help Center URL"
";wmail","Mail2World, Inc
11620 Wilshire BLVD Suite 270
Los Angeles, CA 90025","Work address"
";xxkb","knowledge base,","knowledge base"
";yaemail","yabed@mail2world.net","Youssef’s Email"
";yb","Hi Brian & Youssef:

","YB Greeting"
"m2w","M2W","M2W"
"payeasy","Payeezy","Payeezy"
